Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.075,-0.290,9.941,0.244,0.549,0.244
0.097,-0.281,9.932,0.305,0.549,0.183
0.068,-0.268,9.941,0.305,0.610,0.183
0.014,-0.300,9.938,0.244,0.549,0.183
-0.031,-0.295,9.943,0.183,0.610,0.183
-0.003,-0.276,9.917,0.244,0.549,0.183
0.076,-0.294,9.942,0.183,0.549,0.183
0.101,-0.298,9.938,0.244,0.549,0.244
0.071,-0.272,9.937,0.305,0.610,0.183
0.041,-0.262,9.941,0.305,0.549,0.183
0.013,-0.299,9.941,0.183,0.549,0.183
-0.002,-0.287,9.947,0.244,0.610,0.183
0.009,-0.260,9.941,0.244,0.549,0.183
0.052,-0.274,9.930,0.244,0.549,0.122
0.093,-0.308,9.938,0.244,0.549,0.183
0.078,-0.280,9.951,0.244,0.549,0.244
0.041,-0.295,9.937,0.244,0.610,0.244
-0.009,-0.291,9.943,0.244,0.610,0.183
-0.005,-0.281,9.940,0.244,0.610,0.183
0.028,-0.280,9.939,0.244,0.549,0.183
0.063,-0.283,9.928,0.183,0.549,0.183
0.090,-0.279,9.949,0.244,0.549,0.183
0.076,-0.266,9.931,0.244,0.549,0.183
0.038,-0.297,9.939,0.244,0.549,0.183
